Outcome,Subject,CompositeNLL,CongruencyOnlyNLL,DeltaNLL,CompositeBIC,CongruencyOnlyBIC,DeltaBIC,CompositeAlpha,CongruencyOnlyAlpha,DeltaAlpha
RT,VP0001,-7.24629093866179,-8.01988868137215,-0.773597742710365,67.4908609094667,65.943665424046,-1.54719548542073,0.129838135011232,0.129677692160093,-0.000160442851138753
RT,VP0002,288.699111958651,288.192492267947,-0.506619690703701,658.729983040923,657.716743659515,-1.0132393814074,0.111053914937177,0.169827204880288,0.0587732899431102
RT,VP0003,-296.977736085716,-293.439240709461,3.53849537625564,-512.407002869351,-505.330012116839,7.07699075251128,0.337267780332426,0.394485827513578,0.0572180471811523
RT,VP0004,26.3665168849023,24.0632639254927,-2.30325295940963,132.458510567577,127.852004648757,-4.60650591881927,0.13235612540145,0.167268287968768,0.0349121625673187
RT,VP0005,-149.42122916527,-154.435645283436,-5.01441611816608,-218.301573589865,-228.330405826197,-10.0288322363322,0.0634018734043019,0.0579619824386431,-0.00543989096565883
RT,VP0006,74.5735391096626,74.2615110248114,-0.312028084851192,229.466962238565,228.842906068862,-0.624056169702385,0.112345553550415,0.0682244459405204,-0.044121107609895
RT,VP0007,-264.490410295588,-263.94268029335,0.54773000223804,-446.945709263852,-445.850249259376,1.09546000447608,0.085004024475033,0.0474435716203765,-0.0375604528546565
RT,VP0008,14.9333054718221,16.3033724707005,1.37006699887843,111.614752073774,114.354886071531,2.74013399775686,0.271855858889581,0.208681607062072,-0.0631742518275089
RT,VP0009,-255.662897598447,-256.182662131461,-0.519764533013472,-430.340680626995,-431.380209693022,-1.03952906602694,0.433656496528236,0.375934166636088,-0.0577223298921474
RT,VP0010,-288.128563990688,-287.224767715868,0.903796274820536,-493.966959230832,-492.15936668119,1.80759254964107,0.270661050509385,0.318319425313251,0.0476583748038659
RT,VP0011,-43.0808966439107,-44.7440433548123,-1.66314671090163,-5.24722565831857,-8.57351908012183,-3.32629342180326,0.185949312326396,0.205078921662014,0.0191296093356181
RT,VP0012,-71.0518562160979,-70.2756972949898,0.776158921108049,-60.3820030308141,-58.829685188598,1.5523178422161,0.195651031488491,0.360443805382491,0.164792773894001
RT,VP0013,-443.973455788402,-441.9507719761,2.02268381230158,-805.669367761669,-801.624000137066,4.04536762460316,0.0176272970567842,0.0486567481459278,0.0310294510891436
RT,VP0014,-322.346765491663,-321.243591569711,1.10317392195248,-562.466620154704,-560.260272310799,2.20634784390495,0.0599197290458017,0.0779018440014203,0.0179821149556186
