Outcome,N,MedianDeltaNLL,CILowDeltaNLL,CIHighDeltaNLL,MedianDeltaBIC,CILowDeltaBIC,CIHighDeltaBIC,PercentFavorCongruencyOnly,SummedDeltaBIC,SignedRankPDeltaBIC
RT,998,0.0966873101914132,-0.0625866083144615,0.285309131338465,0.193374620382826,-0.123840454345213,0.5917774152486,47.9959919839679,235.576651133372,0.108351875877388
Error,998,-0.0374628036902607,-0.168972657774162,0.145942885378489,-0.0749256073804645,-0.337856122913308,0.285044380532554,50.8016032064128,-119.507297960541,0.808327492558218
