Outcome,N,MedianCompositeAlpha,MedianCongruencyOnlyAlpha,MedianDeltaAlpha,CILowDeltaAlpha,CIHighDeltaAlpha,SignedRankPDeltaAlpha
RT,998,0.139854496609084,0.133394276295756,0.000285011220403988,-0.00254298147706822,0.00407609608549589,0.140611269020064
Error,998,0.151383644086736,0.146857592651381,-0.00229914004888908,-0.00569700981672074,0.00264182220193626,0.314908329505784
