Outcome,Parameter,N,MeanDifference,MedianDifference,MedianCILower,MedianCIUpper,PercentDirectionalGreater,P_TTest,P_SignedRank,P_SignedRank_FDR
RT,Alpha,998,0.116251069243562,0.051782897530966,0.0415520835900485,0.0624539826942065,68.1362725450902,0,4.35835173307605e-41,8.7167034661521e-41
RT,Unexpected_1SD_Congruent,998,0.0027739790195783,0.00277052587445879,0.00218481696760291,0.00319977003346716,66.3326653306613,0,7.65963155228631e-33,1.14894473284295e-32
RT,Unexpected_1SD_Incongruent,998,0.00687306553459752,0.00626694621099265,0.00565900714075038,0.00679926339703799,80.4609218436874,0,9.29910302927393e-87,2.78973090878218e-86
Error,Alpha,998,0.0390951992672606,0.0228857837537751,0.0147546503812535,0.0359418937175279,60.3206412825651,3.07455830217407e-05,9.20979668120008e-10,9.20979668120008e-10
Error,Unexpected_1SD_Congruent,998,0.246354526296369,0.218237856390862,0.199530568587709,0.235843538097162,84.6693386773547,0,2.48223098383089e-102,1.48933859029853e-101
Error,Unexpected_1SD_Incongruent,998,0.0284744063039126,0.0301787479053943,0.0250510027989389,0.0371243867767698,66.6332665330661,0,2.64291715798357e-31,3.17150058958028e-31
