Outcome,Subject,Condition,EffectScale,UnexpectednessSD_Symmetric,UnexpectednessSD_Directional,LogEffect_Symmetric,LogEffect_Directional,DeltaLogEffect,TransformedEffect_Symmetric,TransformedEffect_Directional
RT,VP0015,Congruent,PercentRTChange,0.0534825419638241,0.113684467735479,0.0400418972313554,0.0420565368919728,0.00201463966061741,4.08543821957126,4.29534424300433
RT,VP0016,Congruent,PercentRTChange,0.106752561019029,0.128853234958535,0.0318331878831921,0.0336579856629688,0.00182479777977668,3.23452832391804,3.42308244624971
RT,VP0017,Congruent,PercentRTChange,0.0926036642085618,0.123976461706416,0.0404100836040056,0.0476808330496942,0.00727074944568865,4.12376811535469,4.88358481585935
RT,VP0018,Congruent,PercentRTChange,0.0985160537952339,0.0873138526027889,0.0179107871597122,0.02000394770616,0.00209316054644782,1.80721472304179,2.02053674898199
RT,VP0019,Congruent,PercentRTChange,0.0470154262572387,0.127399643977796,0.0284016794340754,0.0349654504263592,0.00656377099228373,2.88088527930126,3.55839291983187
RT,VP0020,Congruent,PercentRTChange,0.108151322701947,0.121637126370869,0.0503500051178584,0.0498878282868575,-0.000462176831000881,5.16391110397632,5.11531801097247
RT,VP0021,Congruent,PercentRTChange,0.106355375221645,0.112850122472398,0.0292404959799284,0.0325819633243457,0.00334146734441729,2.96721967242208,3.31185675060652
RT,VP0022,Congruent,PercentRTChange,0.115129149396381,0.111873891006597,0.037211498873569,0.0417528336777803,0.00454133480421132,3.79125149537356,4.26367422111955
RT,VP0023,Congruent,PercentRTChange,0.128503821361834,0.000190333805070325,0.03235635679845,0.0631572082514118,0.0308008514529618,3.28855155052263,6.51942833998653
RT,VP0024,Congruent,PercentRTChange,0.0894029127055215,0.0838977279815949,0.0284393391773572,0.033822663699358,0.00538332452200083,2.88475981998613,3.4401153588191
RT,VP0025,Congruent,PercentRTChange,0.0912330527019385,0.101784243247473,0.0729037104979933,0.0809426404016016,0.00803892990360824,7.56269603437589,8.43086992714412
RT,VP0026,Congruent,PercentRTChange,0.0636234976833177,0.0604912238612769,0.0420786556477617,0.0444119604228442,0.00233330477508254,4.29765115176644,4.54129349461101
RT,VP0027,Congruent,PercentRTChange,0.113263137199394,0.106432987331476,0.051537504897848,0.0573200122017068,0.00578250730385877,5.28886740338017,5.89946473853282
RT,VP0028,Congruent,PercentRTChange,0.073287756165415,0.0733158030565925,0.0310112676594807,0.029488701921152,-0.00152256573832878,3.14971263794188,2.9927799200675
RT,VP0029,Congruent,PercentRTChange,0.111150904560299,0.11190419577372,0.0476214307319332,0.0476528196185088,3.13888865755424e-05,4.87735467287049,4.88064670792705
RT,VP0030,Congruent,PercentRTChange,0.102534516846667,0.10424376953314,0.0396893435700516,0.050143826289359,0.0104544827193074,4.04874898508054,5.14223076707452
RT,VP0031,Congruent,PercentRTChange,0.100122699245524,0.106428946154846,0.0160003789654348,0.0185099875295038,0.00250960856406902,1.61290704838168,1.86823592388861
RT,VP0032,Congruent,PercentRTChange,0.117795630805524,0.124274698475272,0.0444404999892449,0.0505909516409741,0.00615045165172914,4.54427710037353,5.18925303561664
RT,VP0033,Congruent,PercentRTChange,0.111513214390906,0.119698811170369,0.033183053768412,0.0294764251869471,-0.00370662858146491,3.37397518798728,2.9915155128448
RT,VP0034,Congruent,PercentRTChange,0.0999600500495431,0.0776632920025348,0.0613048542175296,0.0523802136332316,-0.00892464058429803,6.32229927998489,5.37763264805007
RT,VP0035,Congruent,PercentRTChange,0.000275734147591211,0.0980951895947632,-0.0113056544656378,-0.0186323779061248,-0.00732672344048697,-1.12419857190245,-1.84598682362189
RT,VP0036,Congruent,PercentRTChange,0.116700403401896,0.131339336304454,0.0236373394336952,0.0262840926246038,0.00264675319090851,2.39189155344399,2.66325657884352
RT,VP0037,Congruent,PercentRTChange,0.000276344251145502,0.0218293536295803,0.0304034090723826,0.0318363344418586,0.00143292536947594,3.08703125199759,3.23485315792886
RT,VP0038,Congruent,PercentRTChange,0.107822671006756,0.109661393574922,0.0700241219628049,0.0599472701906529,-0.0100768517721521,7.25340525687048,6.17805575828592
RT,VP0039,Congruent,PercentRTChange,0.0928166909002052,0.0206842045259162,0.0235175185087454,0.0286116766421272,0.00509415813338184,2.3796235972843,2.9024922465938
RT,VP0040,Congruent,PercentRTChange,0.0273386383843623,0.00811147380218301,0.0288796107964558,0.0345798303791314,0.00570021958267568,2.93006703278076,3.51846642618625
RT,VP0041,Congruent,PercentRTChange,0.0638995382747053,0.12378394536091,0.0664401637762069,0.0752334530018135,0.0087932892256066,6.86970153681894,7.81358155500556
RT,VP0042,Congruent,PercentRTChange,0.117490684869828,0.118785272497275,0.0498939335752823,0.0526188163393603,0.00272488276407797,5.11595977226587,5.40277903624418
RT,VP0043,Congruent,PercentRTChange,0.116099946358944,0.122334156716703,0.0277504582316598,0.0218986348661268,-0.00585182336553296,2.81390887607802,2.21401698439183
RT,VP0044,Congruent,PercentRTChange,0.0816747445795794,0.113474344482988,0.0263195878492829,0.0262782284625229,-4.13593867600003e-05,2.66690069887612,2.66265454663239
RT,VP0045,Congruent,PercentRTChange,0.000275854253791894,0.00949863014084819,0.0226814902294334,0.0405726590384763,0.0178911688090429,2.29406710553821,4.14069745830512
RT,VP0046,Congruent,PercentRTChange,0.0871565131539553,0.114674726689034,0.0450334477421149,0.0502873603870049,0.00525391264488997,4.60628477639493,5.15732334541603
RT,VP0047,Congruent,PercentRTChange,0.106511606457724,0.114989896113211,0.0891899657710845,0.0631641357471881,-0.0260258300238964,9.32883239603135,6.52016625543239
RT,VP0048,Congruent,PercentRTChange,0.0814394573744506,0.000188976320361657,0.0197026256782985,-0.00652730509879759,-0.0262299307770961,1.98980034497562,-0.650604851741454
RT,VP0049,Congruent,PercentRTChange,0.108205107555214,0.105753850041166,0.0444703718699513,0.0400793514846715,-0.00439102038527987,4.54740008119203,4.0893367349484
RT,VP0050,Congruent,PercentRTChange,0.000275735553774142,0.127430892889186,0.0297596420323167,0.0430148114639254,0.0132551694316087,3.02068857592463,4.39533572135924
RT,VP0051,Congruent,PercentRTChange,0.0976727245962907,0.0915063110533611,0.0847078304250013,0.0933918256770211,0.00868399525201978,8.83990231593128,9.78918332117145
RT,VP0052,Congruent,PercentRTChange,0.0597082504617575,0.0841977113495073,0.0358141166641302,0.0199872828106587,-0.0158268338534714,3.64631673525042,2.0188366015645
RT,VP0053,Congruent,PercentRTChange,0.000275760190850205,0.0931523627220478,0.0176149635799944,0.0168361352532942,-0.000778828326700235,1.77710220255773,1.69786617199068
RT,VP0054,Congruent,PercentRTChange,0.109360827376885,0.122834710390792,0.0304420988250889,0.0329103877447333,0.00246828891964447,3.09101974090027,3.34579245963176
RT,VP0055,Congruent,PercentRTChange,0.111056508601007,0.12548236059988,0.057910191511792,0.0595270565722596,0.00161686506046756,5.96198285820635,6.133447666402
RT,VP0056,Congruent,PercentRTChange,0.119016733067263,0.106568401858627,0.0440938788242367,0.0610484404959419,0.0169545616717052,4.50804612082496,6.29504027847911
RT,VP0057,Congruent,PercentRTChange,0.000275663480308582,0.0210021239443968,0.0367836748298501,0.0391953102545706,0.00241163542472052,3.74685659973519,3.99735813208979
RT,VP0058,Congruent,PercentRTChange,0.112071350584574,0.122938986396637,0.0280143266920083,0.0216881672129223,-0.00632615947908605,2.84104180352003,2.1925065038221
RT,VP0059,Congruent,PercentRTChange,0.115069819278142,0.12360707305382,0.0405261571857945,0.0375984586071181,-0.00292769857867636,4.13585483553007,3.83142230213802
RT,VP0060,Congruent,PercentRTChange,0.102387878523986,0.109562443818185,0.0512210830150204,0.053300829583074,0.00207974656805357,5.25555697206825,5.47468964667808
RT,VP0061,Congruent,PercentRTChange,0.113041238847633,0.0899248561078457,0.0392297247405244,0.0355798279134153,-0.00364989682710907,4.00093720929615,3.6220364136005
RT,VP0062,Congruent,PercentRTChange,0.112319538204346,0.117185076278733,0.0427787306930851,0.0430829714074115,0.000304240714326429,4.3706928989927,4.4024515440465
RT,VP0063,Congruent,PercentRTChange,0.117565643630986,0.108123757972839,0.0581760802272761,0.061840707855559,0.00366462762828285,5.99016069963769,6.37928773823042
RT,VP0064,Congruent,PercentRTChange,0.0960356545093189,0.0788449260988621,0.0650550181448888,0.0728392671484134,0.00778424900352452,6.72177391091884,7.55576455729978
RT,VP0065,Congruent,PercentRTChange,0.0992156310974233,0.096105624276473,0.0703780557467598,0.075040029287972,0.00466197354121214,7.29137257899775,7.79272986832897
RT,VP0066,Congruent,PercentRTChange,0.0742477598865322,0.000191661842117106,0.0243615169177717,-0.00348787058381623,-0.027849387501588,2.46606831118616,-0.348179502884727
RT,VP0067,Congruent,PercentRTChange,0.11788553972634,0.0912698470557141,0.0332086423328715,0.0305410013133713,-0.00266764101950024,3.37662041345843,3.10121620349166
RT,VP0068,Congruent,PercentRTChange,0.0936056413834839,0.115775906854992,0.0431469609369915,0.0488542773148213,0.00570731637782976,4.40913242155863,5.0067320960715
RT,VP0069,Congruent,PercentRTChange,0.111728910453741,0.111347628088517,0.028245485384699,0.0264012235641668,-0.00184426182053218,2.86481715213165,2.67528232682503
RT,VP0070,Congruent,PercentRTChange,0.0704290679661342,0.000192395089869585,-0.0352262501957367,0.022378473186752,0.0576047233824887,-3.46130274444691,2.26307495565197
RT,VP0071,Congruent,PercentRTChange,0.0530226548901819,0.0966395642832436,0.0667776076708903,0.0697597001536626,0.00298209248277238,6.90577015035363,7.22504886660502
RT,VP0072,Congruent,PercentRTChange,0.119563545636558,0.122622324034969,0.0317902925656003,0.0360896076750093,0.00429931510940905,3.23010014101397,3.67487429731692
RT,VP0073,Congruent,PercentRTChange,0.118558847616476,0.114661863582602,0.0516690842319017,0.0458390205985454,-0.00583006363335621,5.30272215391581,4.69058671113907
RT,VP0074,Congruent,PercentRTChange,0.000276103012031458,0.000193784763274881,-0.0237982284059394,-0.0400094578476564,-0.016211229441717,-2.35172836436749,-3.92196478048505
RT,VP0075,Congruent,PercentRTChange,0.0667329794075725,0.115054132440804,0.0337477958498985,0.0375014390455109,0.0037536431956124,3.43237130972811,3.82134911172138
RT,VP0076,Congruent,PercentRTChange,0.0762284789705665,0.118906835183414,0.026326004377281,0.0196764530636567,-0.00664955131362432,2.66755946603243,1.98713104016528
RT,VP0077,Congruent,PercentRTChange,0.000275661198297431,0.000192530562519737,0.00391403016447835,0.00602549746765864,0.00211146730318029,0.392169998391267,0.604368729342264
RT,VP0078,Congruent,PercentRTChange,0.0879258868366837,0.0732787903699582,0.0659875497112542,0.0722781770758747,0.00629062736462049,6.82134175177112,7.49543301286051
RT,VP0079,Congruent,PercentRTChange,0.0883163872842785,0.0772364384991564,0.113723454458983,0.124803025994351,0.0110795715353684,12.0442228733605,13.2925274257965
RT,VP0080,Congruent,PercentRTChange,0.000275377042745248,0.127831417925057,0.0565843752808547,0.0618253712452804,0.00524099596442577,5.82158982971368,6.37765625306344
RT,VP0081,Congruent,PercentRTChange,0.116029885736615,0.116716995028294,0.0203200852066129,0.0209586107950912,0.000638525588478309,2.05279436511707,2.11797849434745
RT,VP0082,Congruent,PercentRTChange,0.11477390164791,0.0829519542918378,0.0426021700940291,0.0425865095304109,-1.56605636182292e-05,4.35226677364231,4.35063257112609
RT,VP0083,Congruent,PercentRTChange,0.119273042739549,0.100984734662003,0.0527084361182532,0.0497623959984494,-0.00294604011980378,5.41222563329073,5.10213398295631
RT,VP0084,Congruent,PercentRTChange,0.0966987452114068,0.116560928665371,0.0321691923331396,0.0337420159301063,0.00157282359696673,3.26922141301285,3.43177348064572
RT,VP0085,Congruent,PercentRTChange,0.117900972297404,0.106395671052638,0.00950158531972035,0.0174822365003505,0.00798065118063012,0.954686868914778,1.76359452144512
RT,VP0086,Congruent,PercentRTChange,0.121239727850539,0.126862314889016,0.0429272124131025,0.0418542268721362,-0.00107298554096633,4.38619118957171,4.27424638406775
RT,VP0087,Congruent,PercentRTChange,0.115159575847784,0.118630761456963,0.0497954538926235,0.0586352913507396,0.00883983745811611,5.1056084956087,6.03884373744938
RT,VP0088,Congruent,PercentRTChange,0.116319726592744,0.119205288983648,0.0471742744831547,0.0552960536332775,0.00812177915012283,4.83046859185645,5.68534536694496
