Outcome,N,MedianDeltaNegLogLike,MedianDeltaBIC,PercentDirectionalPreferredByBIC,SummedDeltaBIC
RT,998,-0.55732362101584,-1.11464724203168,62.2244488977956,-2264.31322502933
Error,998,-1.85321241276043,-3.70642482552086,78.9579158316633,-4246.91289603185
