Outcome,Subject,Parameter,Symmetric,Directional,DirectionalMinusSymmetric
RT,VP0029,alpha,0.717693019248025,0.771542325656704,0.0538493064086787
RT,VP0030,alpha,0.912136745795252,0.962160175664628,0.0500234298693754
RT,VP0031,alpha,0.604196156202517,0.982243258019663,0.378047101817146
RT,VP0032,alpha,0.799851971064311,0.880411058356548,0.0805590872922369
RT,VP0033,alpha,0.899332330024224,0.925147869112044,0.0258155390878209
RT,VP0034,alpha,0.618810660953884,0.553401905935995,-0.0654087550178887
RT,VP0035,alpha,0.00164462525732482,0.998355374742675,0.99671074948535
RT,VP0036,alpha,0.747968904519814,0.898938695871394,0.15096979135158
RT,VP0037,alpha,0.00164462525732482,0.181378458772884,0.179733833515559
RT,VP0038,alpha,0.938147982421621,0.740182720666714,-0.197965261754907
RT,VP0039,alpha,0.976939452686756,0.168488366641083,-0.808451086045672
RT,VP0040,alpha,0.163535459224103,0.0667077533671281,-0.0968277058569746
RT,VP0041,alpha,0.387061088421874,0.944281089679011,0.557220001257136
RT,VP0042,alpha,0.8773793689663,0.882075678001598,0.00469630903529783
RT,VP0043,alpha,0.873856659074273,0.922491629632076,0.0486349705578024
RT,VP0044,alpha,0.501128244570137,0.95074426056552,0.449616015995383
RT,VP0045,alpha,0.00164462525732482,0.0780565437345108,0.076411918477186
RT,VP0046,alpha,0.536007715751399,0.787258168403555,0.251250452652156
RT,VP0047,alpha,0.955501081027605,0.826018623525899,-0.129482457501706
RT,VP0048,alpha,0.976541379395753,0.00164462525732482,-0.974896754138428
RT,VP0049,alpha,0.708374364697647,0.974148115732368,0.265773751034721
RT,VP0050,alpha,0.00164462525732482,0.888529947693504,0.88688532243618
RT,VP0051,alpha,0.618477227678292,0.641613005232693,0.0231357775544011
RT,VP0052,alpha,0.998355374742675,0.995340840535262,-0.0030145342074136
RT,VP0053,alpha,0.00164462525732482,0.657439380768603,0.655794755511279
RT,VP0054,alpha,0.923691054258472,0.901849500973259,-0.0218415532852123
RT,VP0055,alpha,0.727843528704554,0.93781463511376,0.209971106409206
RT,VP0056,alpha,0.908240741405856,0.98385500552622,0.0756142641203644
RT,VP0057,alpha,0.00164462525732482,0.169720668193199,0.168076042935874
RT,VP0058,alpha,0.918836865403838,0.943835972003607,0.0249991065997682
RT,VP0059,alpha,0.902914720962747,0.890913790144435,-0.0120009308183124
RT,VP0060,alpha,0.951619144992617,0.95827958608829,0.00666044109567321
RT,VP0061,alpha,0.88871738309493,0.640216690493963,-0.248500692600967
RT,VP0062,alpha,0.806665011696746,0.861803398874989,0.0551383871782434
RT,VP0063,alpha,0.806154184098134,0.767828045618541,-0.0383261384795927
