Outcome,Subject,NegLogLike_Symmetric,NegLogLike_Directional,DeltaNegLogLike_DirectionalMinusSymmetric,BIC_Symmetric,BIC_Directional,DeltaBIC_DirectionalMinusSymmetric,DirectionalPreferredByBIC
RT,VP0001,-11.7281327041797,-12.9562270513487,-1.22809434716896,58.5271773784309,56.0709886840929,-2.45618869433792,1
RT,VP0002,271.692451768594,277.35292538355,5.660473614956,624.716662660809,636.037609890721,11.320947229912,0
RT,VP0003,-262.596215326502,-264.98151591851,-2.3853005920073,-443.643961350923,-448.414562534937,-4.77060118401459,1
RT,VP0004,62.7735909823166,66.996938377663,4.22334739534637,205.272658762405,213.719353553098,8.44669479069273,0
RT,VP0005,-128.404595364372,-125.308815020481,3.09578034389057,-176.26830598807,-170.076745300289,6.19156068778113,0
RT,VP0006,48.2780321769587,51.0752261690388,2.79719399208011,176.875948373157,182.470336357317,5.59438798416022,0
RT,VP0007,-288.17583468784,-287.96826854742,0.207566140420113,-494.316558048355,-493.901425767515,0.415132280840226,0
RT,VP0008,-22.6713458153759,-22.6017645303154,0.069581285060508,36.4054494993779,36.544612069499,0.139162570121016,0
RT,VP0009,-240.181041788499,-240.663308998363,-0.482267209864688,-399.376969007097,-400.341503426827,-0.964534419729375,1
RT,VP0010,-248.077104768376,-254.541331229583,-6.4642264612072,-413.864040786208,-426.792493708622,-12.9284529224144,1
RT,VP0011,-70.9803931288749,-75.0193382991662,-4.0389451702913,-61.046218628247,-69.1241089688296,-8.0778903405826,1
RT,VP0012,-86.6218746879155,-85.9050277549852,0.716846932930309,-91.5220399744494,-90.0883461085888,1.43369386586062,0
RT,VP0013,-472.23136194032,-477.350895130025,-5.11953318970598,-862.185180065504,-872.424246444916,-10.239066379412,1
RT,VP0014,-342.486572318802,-344.093788354041,-1.60721603523888,-602.746233808982,-605.96066587946,-3.21443207047776,1
RT,VP0015,-284.24025963267,-284.876810631975,-0.636550999305086,-486.732378135211,-488.005480133821,-1.27310199861017,1
RT,VP0016,-303.759290735791,-303.924904702469,-0.165613966678052,-526.519407146119,-526.850635079475,-0.331227933356104,1
RT,VP0017,-198.810796192856,-202.704523996461,-3.8937278036048,-316.993434533089,-324.780890140299,-7.78745560720961,1
RT,VP0018,-181.872965221151,-181.336676205277,0.536289015874615,-281.723715408535,-280.651137376786,1.07257803174923,0
RT,VP0019,-16.390509789706,-16.913080613383,-0.522570823677029,48.1759259634686,47.1307843161145,-1.04514164735406,1
RT,VP0020,16.3696415447341,19.0320508222932,2.66240927755905,113.682119283281,119.006937838399,5.3248185551181,0
RT,VP0021,-105.279310191146,-105.412750947117,-0.133440755971151,-128.666136341775,-128.933017853717,-0.266881511942302,1
RT,VP0022,159.609862783013,158.997246942098,-0.612615840915169,400.441644105809,399.216412423979,-1.22523168183034,1
RT,VP0023,-76.9665620260965,-80.4144422551954,-3.44788022909881,-72.7250065490084,-79.620767007206,-6.89576045819763,1
RT,VP0024,-178.185173399031,-178.160787921188,0.0243854778424293,-275.655545969756,-275.606775014071,0.0487709556848586,0
RT,VP0025,-209.930494990511,-212.648711344957,-2.71821635444627,-337.308720327497,-342.74515303639,-5.43643270889254,1
RT,VP0026,-367.391541046952,-369.640319266805,-2.24877821985308,-652.505538278769,-657.003094718475,-4.49755643970616,1
RT,VP0027,0.499723401995027,0.760245818222018,0.260522416226991,82.3038398952268,82.8248847276807,0.521044832453981,0
RT,VP0028,-305.512048155828,-307.234727531915,-1.72267937608694,-529.31562463914,-532.760983391314,-3.44535875217389,1
RT,VP0029,-67.1973490812371,-66.898710563027,0.298638518210169,-53.0629390388528,-52.4656620024325,0.597277036420337,0
RT,VP0030,-191.80874114945,-199.775412472383,-7.96667132293351,-302.917078592898,-318.850421238765,-15.933342645867,1
